iter	Passed	Remaining
409	787	1133
410	788	1130
411	789	1127
412	790	1124
413	791	1121
414	793	1117
415	796	1118
416	799	1117
417	800	1114
418	801	1111
419	802	1108
420	803	1104
421	804	1101
422	805	1098
423	806	1095
424	807	1092
425	810	1092
426	812	1090
427	813	1087
428	815	1084
429	816	1081
430	817	1078
431	818	1076
432	819	1072
433	820	1069
434	821	1067
435	824	1067
436	826	1065
437	828	1063
438	829	1060
439	830	1057
440	831	1054
441	835	1054
442	838	1054
443	840	1052
444	842	1050
445	843	1047
446	844	1044
447	845	1041
448	846	1038
449	847	1035
450	848	1033
451	849	1030
452	854	1031
453	857	1030
454	858	1028
455	859	1025
456	860	1022
457	861	1019
458	862	1016
459	863	1013
460	866	1012
461	867	1010
462	870	1009
463	871	1006
464	872	1004
465	873	1001
466	874	998
467	875	995
468	876	992
469	877	989
470	879	987
471	881	986
472	884	985
473	885	982
474	886	979
475	887	976
476	888	973
477	889	971
478	890	969
479	892	966
480	895	966
481	897	964
482	899	963
483	901	960
484	902	958
485	903	955
486	904	953
487	905	950
488	907	947
489	911	948
490	914	947
491	915	945
492	916	942
493	917	940
494	918	937
495	919	934
496	920	932
497	921	929
498	925	929
499	928	928
500	929	925
501	930	923
502	932	921
503	933	918
504	934	915
505	934	912
506	935	909
507	936	907
508	939	906
509	941	904
510	944	903
511	945	901
512	947	899
513	948	896
514	949	893
515	950	891
516	950	888
517	954	888
518	956	886
519	958	884
520	959	882
521	960	879
522	961	877
523	962	874
524	964	872
525	964	869
526	966	867
527	969	866
528	971	865
529	973	862
530	974	860
531	975	857
532	976	855
533	977	852
534	978	850
535	979	847
536	981	846
537	983	844
538	985	842
539	986	840
540	987	838
541	988	835
542	990	833
543	991	830
544	992	828
545	993	825
546	994	823
547	999	824
548	1000	822
549	1002	819
550	1003	818
551	1005	815
552	1006	813
553	1007	810
554	1010	810
555	1012	808
556	1015	807
557	1016	805
558	1017	802
559	1018	800
560	1019	797
561	1020	795
562	1021	792
563	1022	790
564	1026	789
565	1027	788
566	1029	786
567	1030	783
568	1031	781
569	1032	779
570	1033	776
571	1035	774
572	1036	772
573	1037	769
574	1040	769
575	1043	768
576	1045	766
577	1046	763
578	1047	761
579	1048	759
580	1049	756
581	1050	754
582	1051	752
583	1054	751
584	1056	749
585	1058	747
586	1059	745
587	1062	744
588	1064	742
589	1068	742
590	1071	741
591	1076	741
592	1078	740
593	1082	739
594	1085	738
595	1087	736
596	1089	735
597	1091	734
598	1094	732
599	1096	731
600	1099	730
601	1102	728
602	1103	726
603	1106	725
604	1108	723
605	1110	722
606	1113	720
607	1115	719
608	1118	717
609	1120	716
610	1122	714
611	1125	713
612	1128	712
613	1130	710
614	1135	710
615	1137	709
616	1143	709
617	1145	708
618	1147	706
619	1150	704
620	1152	703
621	1155	702
622	1158	701
623	1161	699
624	1165	699
625	1167	697
626	1171	696
627	1174	695
628	1176	694
629	1179	692
630	1181	691
631	1185	690
632	1188	688
633	1190	687
634	1192	685
635	1194	683
636	1197	682
637	1202	682
638	1204	680
639	1207	678
640	1209	677
641	1211	675
642	1214	674
643	1216	672
644	1219	670
645	1220	668
646	1222	667
647	1224	665
648	1227	663
649	1229	662
650	1232	660
651	1234	659
652	1237	657
653	1239	655
654	1242	654
655	1245	653
656	1247	651
657	1249	649
658	1252	647
659	1254	646
660	1257	644
661	1259	643
662	1262	641
663	1264	639
664	1266	637
665	1269	636
666	1271	635
667	1274	633
668	1276	631
669	1278	629
670	1280	628
671	1283	626
672	1285	624
673	1288	623
674	1290	621
675	1292	619
676	1294	617
677	1296	615
678	1299	614
679	1302	612
680	1304	611
681	1306	609
682	1308	607
683	1311	605
684	1313	604
685	1316	602
686	1319	601
687	1321	599
688	1323	597
689	1325	595
690	1328	594
691	1331	592
692	1334	591
693	1336	589
694	1338	587
695	1340	585
696	1342	583
697	1345	581
698	1347	580
699	1349	578
700	1351	576
701	1354	574
702	1356	573
703	1359	571
704	1361	569
705	1365	568
706	1367	566
707	1370	565
708	1372	563
709	1375	561
710	1377	559
711	1381	558
712	1384	557
713	1386	555
714	1388	553
715	1391	551
716	1394	550
717	1396	548
718	1399	546
719	1401	545
720	1404	543
721	1407	541
722	1409	539
723	1411	538
724	1413	536
725	1415	534
726	1419	532
727	1421	531
728	1423	529
729	1425	527
730	1427	525
731	1430	523
732	1433	522
733	1435	520
734	1438	518
735	1441	516
736	1443	515
737	1446	513
738	1448	511
739	1451	509
740	1453	508
741	1455	506
742	1458	504
743	1460	502
744	1463	500
745	1465	498
746	1467	497
747	1469	495
748	1471	493
749	1475	491
750	1477	489
751	1479	487
752	1481	486
753	1483	484
754	1486	482
755	1488	480
756	1491	478
757	1493	476
758	1495	474
759	1497	472
760	1499	470
761	1501	468
762	1503	467
763	1506	465
764	1508	463
765	1510	461
766	1513	459
767	1515	457
768	1518	455
769	1521	454
770	1523	452
771	1528	451
772	1530	449
773	1533	447
774	1535	445
775	1537	443
776	1540	442
777	1543	440
778	1545	438
779	1549	436
780	1551	435
781	1553	433
782	1572	435
783	1574	433
784	1576	431
785	1580	430
786	1582	428
787	1584	426
788	1586	424
789	1588	422
790	1590	420
791	1593	418
792	1596	416
793	1598	414
794	1600	412
795	1602	410
796	1604	408
797	1606	406
798	1609	404
799	1611	402
800	1613	400
801	1615	398
802	1617	396
803	1619	394
804	1622	393
805	1625	391
806	1627	389
807	1629	387
808	1631	385
809	1633	383
810	1635	381
811	1637	379
812	1640	377
813	1642	375
814	1644	373
815	1647	371
816	1649	369
817	1651	367
818	1654	365
819	1656	363
820	1658	361
821	1660	359
822	1662	357
823	1664	355
824	1667	353
825	1669	351
826	1672	349
827	1674	347
828	1676	345
829	1678	343
830	1681	341
831	1683	340
832	1685	337
833	1688	336
834	1690	334
835	1692	332
836	1695	330
837	1697	328
838	1699	326
839	1701	324
840	1703	322
841	1705	320
842	1708	318
843	1710	316
844	1712	314
845	1715	312
846	1717	310
847	1718	308
848	1720	306
849	1723	304
850	1725	302
851	1727	300
852	1729	298
853	1732	296
854	1735	294
855	1738	292
856	1740	290
857	1742	288
858	1744	286
859	1746	284
860	1748	282
861	1750	280
862	1754	278
863	1756	276
864	1758	274
865	1760	272
866	1762	270
867	1764	268
868	1767	266
869	1770	264
870	1772	262
871	1773	260
872	1776	258
873	1778	256
874	1780	254
875	1783	252
876	1785	250
877	1787	248
878	1789	246
879	1791	244
880	1793	242
881	1796	240
882	1799	238
883	1801	236
884	1804	234
885	1806	232
886	1808	230
887	1811	228
888	1814	226
889	1816	224
890	1819	222
891	1821	220
892	1823	218
893	1827	216
894	1829	214
895	1831	212
896	1833	210
897	1835	208
898	1838	206
899	1839	204
900	1842	202
901	1844	200
902	1847	198
903	1848	196
904	1850	194
905	1852	192
906	1855	190
907	1857	188
908	1860	186
909	1862	184
910	1864	182
911	1866	180
912	1868	178
913	1870	176
914	1873	174
915	1875	171
916	1877	169
917	1879	167
918	1881	165
919	1883	163
920	1886	161
921	1889	159
922	1891	157
923	1893	155
924	1895	153
925	1897	151
926	1900	149
927	1903	147
928	1905	145
929	1907	143
930	1909	141
931	1911	139
932	1914	137
933	1916	135
934	1919	133
935	1921	131
936	1923	129
937	1925	127
938	1927	125
939	1930	123
940	1932	121
941	1934	119
942	1936	117
943	1938	115
944	1940	112
945	1943	110
946	1945	108
947	1948	106
948	1950	104
949	1952	102
950	1954	100
951	1957	98
952	1959	96
953	1961	94
954	1963	92
955	1965	90
956	1967	88
957	1970	86
958	1974	84
959	1976	82
960	1978	80
961	1980	78
962	1982	76
963	1984	74
964	1987	72
965	1989	70
966	1991	67
967	1993	65
968	1996	63
969	1998	61
970	2000	59
971	2002	57
972	2005	55
973	2007	53
974	2009	51
975	2013	49
976	2015	47
977	2017	45
978	2020	43
979	2022	41
980	2024	39
981	2026	37
982	2028	35
983	2031	33
984	2033	30
985	2035	28
986	2037	26
987	2040	24
988	2042	22
989	2044	20
990	2046	18
991	2049	16
992	2051	14
993	2053	12
994	2055	10
995	2057	8
996	2059	6
997	2061	4
998	2064	2
999	2066	0
